X_1 Y_1 X_2 Y_2 X_3 Y_3 X_4 Y_4 X_5 Y_5 X_6 Y_6 X_7 Y_7 X_8 Y_8 X_9 Y_9 X_10 Y_10 
4.80464 1.08561 2.18013 2.73034 0.218391 4.16013 1.33689 9.77235 4.77952 5.03186 3.93048 11.5877 9.1798 3.93447 6.51613 5.48421 6.79068 4.33381 3.83943 5.37018
4.90921 1.09136 2.24717 2.65875 0.221572 4.05171 1.27982 9.71496 4.80938 5.05384 3.85376 11.5829 9.21214 4.04866 6.44551 5.53813 6.90038 4.41795 3.80631 5.28927
5.01368 1.10032 2.31678 2.58856 0.227366 3.94331 1.22357 9.65688 4.82972 5.07367 3.77718 11.577 9.24121 4.16378 6.37512 5.58669 6.99906 4.51115 3.77901 5.20718
5.11799 1.11252 2.38898 2.51981 0.235734 3.835 1.16814 9.5981 4.84246 5.09023 3.70075 11.5701 9.26712 4.27973 6.30568 5.63096 7.08533 4.61109 3.75721 5.12431
5.22208 1.12801 2.46379 2.45256 0.246635 3.72684 1.11355 9.53864 4.84934 5.10277 3.62448 11.5622 9.28993 4.39639 6.23747 5.67189 7.15878 4.71581 3.74064 5.04103
5.32588 1.14682 2.54123 2.38687 0.260031 3.61892 1.05981 9.47848 4.85194 5.11084 3.54839 11.5532 9.30974 4.51361 6.17039 5.71019 7.21965 4.8237 3.72904 4.95765
5.42933 1.16898 2.62129 2.32285 0.275883 3.51131 1.00695 9.41764 4.85172 5.11426 3.47249 11.5431 9.32659 4.63125 6.10415 5.74637 7.26859 4.93354 3.72217 4.87449
5.53233 1.1945 2.70399 2.26057 0.294153 3.40408 0.954967 9.35611 4.85006 5.1131 3.39677 11.532 9.34053 4.74914 6.03834 5.78069 7.3064 5.04436 3.71982 4.79183
5.6348 1.22341 2.78934 2.20013 0.314802 3.29732 0.903878 9.29389 4.84824 5.10762 3.32126 11.5198 9.3516 4.8671 5.97258 5.81328 7.33393 5.15544 3.72178 4.70994
5.73664 1.25573 2.87732 2.14166 0.337792 3.1911 0.853693 9.23098 4.84749 5.09826 3.24594 11.5066 9.35983 4.98498 5.90649 5.84411 7.35197 5.26619 3.72783 4.62907
5.83774 1.29146 2.96795 2.08527 0.363087 3.0855 0.804423 9.16736 4.84897 5.08564 3.17083 11.4923 9.36525 5.10263 5.83972 5.87308 7.36128 5.37617 3.73777 4.54944
5.93799 1.33061 3.06121 2.03108 0.390647 2.9806 0.756075 9.10304 4.85379 5.07051 3.09594 11.477 9.36789 5.21989 5.772 5.90001 7.36253 5.485 3.75139 4.47127
6.03728 1.37319 3.15708 1.97924 0.420434 2.87648 0.708656 9.03802 4.86303 5.05383 3.02126 11.4607 9.36777 5.33663 5.70307 5.92465 7.3563 5.59238 3.76847 4.39475
6.13548 1.4192 3.25554 1.92989 0.45241 2.7732 0.662173 8.97228 4.87776 5.0367 2.9468 11.4433 9.36492 5.45272 5.63274 5.94673 7.34312 5.69805 3.78881 4.32006
6.23247 1.46862 3.35656 1.88317 0.486536 2.67084 0.616629 8.90582 4.89902 5.02045 2.87256 11.4249 9.35938 5.56803 5.56084 5.96592 7.32347 5.80177 3.81219 4.24736
6.32813 1.52146 3.46011 1.83925 0.522773 2.56946 0.572029 8.83865 4.92787 5.00671 2.79854 11.4055 9.35117 5.68247 5.48722 5.98184 7.29777 5.90335 3.83838 4.17679
6.42231 1.5777 3.56612 1.79828 0.561085 2.46914 0.528375 8.77075 4.96534 4.99744 2.72476 11.3851 9.34032 5.79593 5.41177 5.99404 7.26638 6.0026 3.86719 4.10848
